188, -0.440000, -0.440000, -0.060000, -0.612222, 0.348889, 1.351111, 2.890000, 0.440000, 9.350000, 187.250000, 17.125000, -2.687500, -0.270000, -0.260000, -0.470000, -1.124444, -0.482222, 0.826667, -1.870000, -8.310000, 4.840000, 187.250000, 17.125000, -2.687500
209, -0.590000, -1.660000, -0.010000, -0.605556, 0.310000, 1.338889, 2.850000, 0.260000, 9.370000, 185.875000, 16.875000, -1.625000, -0.600000, -1.250000, -1.750000, -1.070000, -0.524444, 0.724444, -1.940000, -8.380000, 4.690000, 185.875000, 16.875000, -1.625000
227, -0.930000, -2.850000, 0.020000, -0.524444, 0.294444, 1.185556, 2.800000, 0.100000, 9.390000, 184.625000, 16.562500, -0.625000, -0.770000, -1.130000, -2.150000, -0.926667, -0.512222, 0.564444, -2.010000, -8.470000, 4.490000, 184.062500, 16.437500, -0.187500
247, -0.950000, -4.040000, -0.280000, -0.404444, 0.248889, 1.028889, 2.750000, -0.030000, 9.410000, 183.562500, 16.312500, 0.125000, -0.740000, -1.430000, -3.240000, -0.681111, -0.468889, 0.460000, -2.030000, -8.490000, 4.450000, 183.562500, 16.312500, 0.125000
268, -0.940000, -4.070000, -0.690000, -0.332222, 0.255556, 0.865555, 2.710000, -0.120000, 9.420000, 182.750000, 16.000000, 0.687500, -0.700000, -1.090000, -3.400000, -0.404444, -0.300000, 0.373333, -2.060000, -8.520000, 4.390000, 182.437500, 15.812500, 0.937500
288, -0.730000, -3.450000, -1.530000, -0.178889, 0.388889, 0.492222, 2.640000, -0.180000, 9.440000, 182.187500, 15.625000, 1.125000, -0.390000, 0.070000, -2.550000, -0.182222, -0.187778, 0.328889, -2.100000, -8.520000, 4.360000, 182.187500, 15.625000, 1.125000
307, -0.940000, -2.450000, -0.190000, -0.120000, 0.427778, 0.414444, 2.570000, -0.210000, 9.450000, 181.750000, 15.187500, 1.312500, -0.190000, 0.280000, -2.250000, -0.048889, -0.157778, 0.401111, -2.150000, -8.510000, 4.350000, 181.750000, 15.187500, 1.312500
327, -0.340000, -2.580000, -1.270000, 0.122222, 0.235556, 0.230000, 2.530000, -0.210000, 9.470000, 181.437500, 14.937500, 1.250000, -0.060000, -0.110000, -1.960000, 0.083333, -0.060000, 0.410000, -2.163125, -8.490000, 4.360000, 181.375000, 14.750000, 1.187500
348, -0.370000, -0.600000, -0.330000, 0.122222, 0.360000, 0.131111, 2.470000, -0.190000, 9.480000, 181.312500, 14.562500, 1.125000, -0.480000, -0.040000, -0.400000, 0.108889, 0.067778, 0.447778, -2.280000, -8.460000, 4.380000, 181.312500, 14.562500, 1.125000
368, -0.170000, -0.320000, -0.170000, 0.111111, 0.363333, 0.126667, 2.400000, -0.180000, 9.500000, 181.125000, 14.187500, 1.062500, -0.610000, -0.450000, -0.770000, 0.041111, 0.063333, 0.440000, -2.360000, -8.440000, 4.390000, 181.125000, 14.000000, 1.062500
